X,Y,Z,hexcode
0.30954742,-0.20186074,-0.73703957,#78b4d2
0.36308238,-0.17426747,-0.84270114,#78b4e1
0.417403,-0.14793548,-0.95215374,#78b4f0
0.47269246,-0.122948304,-1.0649108,#78b4ff
-0.3449869,-0.684456,0.17070368,#78c300
-0.29672295,-0.68843627,0.115059756,#78c30f
-0.23874536,-0.7061365,0.047520496,#78c31e
-0.18216258,-0.7230468,-0.01665933,#78c32d
-0.12642466,-0.7224827,-0.08051328,#78c33c
-0.076693684,-0.70539856,-0.14604366,#78c34b
-0.031497512,-0.6786167,-0.2147741,#78c35a
0.016248532,-0.6482612,-0.29106307,#78c369
0.06589976,-0.616643,-0.3716627,#78c378
0.11594718,-0.58279103,-0.45355025,#78c387
0.16549025,-0.5428607,-0.5348391,#78c396
0.21436888,-0.4959483,-0.6153148,#78c3a5
0.26322517,-0.44537747,-0.6966991,#78c3b4
0.31207767,-0.3930165,-0.78025484,#78c3c3
0.3623841,-0.3475103,-0.87121844,#78c3d2
0.4157098,-0.3174317,-0.97448397,#78c3e1
0.4703459,-0.29143795,-1.0831839,#78c3f0
0.52580917,-0.26670998,-1.1958352,#78c3ff
-0.27916288,-0.81784195,0.04408203,#78d200
-0.23078427,-0.8225772,-0.012576253,#78d20f
-0.17246537,-0.84112394,-0.08167089,#78d21e
-0.11670622,-0.86059165,-0.14765821,#78d22d
-0.064687595,-0.86529154,-0.21366459,#78d23c
-0.01601376,-0.850368,-0.28105533,#78d24b
0.029676534,-0.82512987,-0.3517603,#78d25a
0.07781095,-0.7958079,-0.43000638,#78d269
0.12732118,-0.7655097,-0.51184714,#78d278
0.17742155,-0.7343212,-0.59551734,#78d287
0.22755255,-0.6999069,-0.6797946,#78d296
0.27675048,-0.6583365,-0.7629948,#78d2a5
0.32517296,-0.6105544,-0.84580445,#78d2b4
0.37319478,-0.5593925,-0.9298309,#78d2c3
0.42139423,-0.50710285,-1.0162902,#78d2d2
0.47210807,-0.46392316,-1.1111422,#78d2e1
0.52641463,-0.43598974,-1.2179874,#78d2f0
0.5821181,-0.41159573,-1.3298546,#78d2ff
-0.21019553,-0.9517366,-0.08462755,#78e100
-0.16195919,-0.9570762,-0.14234117,#78e10f
-0.10413903,-0.97570986,-0.21316852,#78e11e
-0.049888883,-0.9951748,-0.28166083,#78e12d
-0.000534636,-1.0053526,-0.34882268,#78e13c
0.04786263,-0.99496263,-0.41834888,#78e14b
0.09468694,-0.9719457,-0.4912919,#78e15a
0.14319587,-0.9438292,-0.57122606,#78e169
0.1925686,-0.91463804,-0.65414536,#78e178
0.24258988,-0.88503456,-0.7390741,#78e187
0.2930609,-0.85416585,-0.8254922,#78e196
0.3431131,-0.8186936,-0.9118481,#78e1a5
0.39182013,-0.7754296,-0.9968861,#78e1b4
0.4394652,-0.72661144,-1.0820045,#78e1c3
0.48673257,-0.6750169,-1.1686594,#78e1d2
0.5348622,-0.6236342,-1.258199,#78e1e1
0.58630264,-0.5832355,-1.3571681,#78e1f0
0.6415672,-0.5573605,-1.4677253,#78e1ff
-0.13762817,-1.0863602,-0.2154536,#78f000
-0.09036476,-1.0917374,-0.27439302,#78f00f
-0.034470845,-1.1092494,-0.3472858,#78f01e
0.018514339,-1.1281357,-0.4184998,#78f02d
0.06707653,-1.142811,-0.4858282,#78f03c
0.11530696,-1.1391163,-0.5577362,#78f04b
0.1635444,-1.1190295,-0.63330126,#78f05a
0.2123956,-1.0923219,-0.71472424,#78f069
0.26164553,-1.0641943,-0.79867005,#78f078
0.3115443,-1.0357628,-0.8846441,#78f087
0.36210465,-1.0069128,-0.97248477,#78f096
0.41288003,-0.9760452,-1.061386,#78f0a5
0.46257684,-0.9389237,-1.1494873,#78f0b4
0.51041687,-0.89378273,-1.2363446,#78f0c3
0.5571978,-0.8439916,-1.3238441,#78f0d2
0.60420454,-0.7926911,-1.4133285,#78f0e1
0.6525887,-0.74272126,-1.5061969,#78f0f0
0.7048503,-0.7052151,-1.6095101,#78f0ff
-0.06076446,-1.2217352,-0.3485626,#78ff00
-0.016150927,-1.2259587,-0.40907088,#78ff0f
0.036962964,-1.2417777,-0.48410654,#78ff1e
0.08966855,-1.2607912,-0.5577629,#78ff2d
0.13840586,-1.2785032,-0.6253936,#78ff3c
0.18660663,-1.282085,-0.6988449,#78ff4b
0.23617843,-1.266223,-0.77771235,#78ff5a
0.2853866,-1.2412086,-0.86051273,#78ff69
0.33454177,-1.2141616,-0.94546103,#78ff78
0.38431677,-1.1867808,-1.0324103,#78ff87
0.43484968,-1.159266,-1.1213194,#78ff96
0.48596224,-1.131073,-1.2118855,#78ffa5
0.53678095,-1.0995888,-1.3029356,#78ffb4
0.58556837,-1.0600743,-1.3925557,#78ffc3
0.6322967,-1.0130566,-1.4813974,#78ffd2
0.678623,-0.963014,-1.5715637,#78ffe1
0.7257341,-0.9125566,-1.6641196,#78fff0
0.77448577,-0.8642,-1.7605238,#78ffff
-0.7161819,0.8563492,1.3140861,#870000
-0.61911654,0.8641062,1.3061352,#87000f
-0.532413,0.87280947,1.2930216,#87001e
-0.4558573,0.8753347,1.26792,#87002d
-0.39872932,0.879887,1.2319993,#87003c
-0.35425538,0.88921654,1.1934112,#87004b
-0.3119657,0.8992847,1.1535692,#87005a
-0.27283773,0.9082854,1.1077043,#870069
-0.23647717,0.91604114,1.0547103,#870078
-0.19732082,0.9244517,0.9970726,#870087
-0.15120323,0.9351803,0.9309654,#870096
-0.10006358,0.9485424,0.8560271,#8700a5
-0.049022175,0.9638987,0.777721,#8700b4
0.0013359378,0.98051053,0.69703484,#8700c3
0.051427376,0.9977103,0.6135592,#8700d2
0.100358635,1.0159783,0.52660143,#8700e1
0.14591144,1.0366571,0.43528202,#8700f0
0.18864563,1.0590106,0.3397876,#8700ff
-0.63568246,0.71712023,1.2461909,#870f00
-0.5384416,0.73038,1.2345012,#870f0f
-0.4592659,0.74711984,1.2141922,#870f1e
-0.40551975,0.7747935,1.184538,#870f2d
-0.36364925,0.79424626,1.1472925,#870f3c
-0.32242978,0.80597025,1.1074328,#870f4b
-0.28294998,0.81527686,1.0628438,#870f5a
-0.2466886,0.8226129,1.0102268,#870f69
-0.20873962,0.8299438,0.95309293,#870f78
-0.16515869,0.8386585,0.88996387,#870f87
-0.11626905,0.84891427,0.81929797,#870f96
-0.064216286,0.8608223,0.7418027,#870fa5
-0.0127919335,0.8743471,0.66179824,#870fb4
0.037539706,0.8891859,0.5798071,#870fc3
0.086626,0.9049378,0.49538103,#870fd2
0.1326222,0.92270565,0.40754676,#870fe1
0.17521858,0.94265854,0.31584868,#870ff0
0.21686086,0.9630882,0.22074457,#870fff
-0.58866996,0.59249485,1.1928608,#871e00
-0.50523686,0.6091411,1.1709056,#871e0f
-0.4393196,0.6313969,1.1365352,#871e1e
-0.38761342,0.66933334,1.1038072,#871e2d
-0.34270018,0.70575136,1.0721865,#871e3c
-0.30173084,0.7232014,1.0315201,#871e4b
-0.264901,0.732417,0.9805458,#871e5a
-0.22764681,0.73991454,0.92441154,#871e69
-0.18530291,0.748142,0.86278117,#871e78
-0.13887416,0.7570546,0.7962617,#871e87
-0.08846213,0.7668677,0.7228221,#871e96
-0.03575144,0.77772164,0.64371645,#871ea5
0.016083932,0.7899724,0.5623747,#871eb4
0.066154316,0.8040148,0.47888935,#871ec3
0.113251686,0.82023954,0.39241925,#871ed2
0.15648095,0.83895564,0.30228007,#871ee1
0.19805656,0.85838383,0.20900992,#871ef0
0.23963758,0.87722176,0.113078356,#871eff
-0.5648034,0.4780517,1.1260204,#872d00
-0.49676955,0.49818543,1.095981,#872d0f
-0.43834093,0.5217706,1.0606253,#872d1e
-0.38544396,0.55590934,1.0265796,#872d2d
-0.33416232,0.59721434,0.9927867,#872d3c
-0.2883816,0.631023,0.9499481,#872d4b
-0.24880147,0.64690393,0.8957584,#872d5a
-0.20709938,0.657541,0.8356025,#872d69
-0.16145086,0.66724986,0.77071697,#872d78
-0.113833375,0.6764036,0.7024391,#872d87
-0.062299136,0.6861282,0.62691593,#872d96
-0.009133406,0.6964397,0.54674,#872da5
0.042822227,0.70815396,0.46439943,#872db4
0.09160356,0.7227442,0.3794962,#872dc3
0.13596207,0.7406748,0.2911258,#872dd2
0.17785953,0.760072,0.19952706,#872de1
0.21945842,0.7791355,0.10526609,#872df0
0.26144296,0.79728836,0.008486919,#872dff
-0.5527989,0.37025353,1.0496876,#873c00
-0.49417725,0.39309886,1.0203013,#873c0f
-0.43811378,0.4147832,0.98391956,#873c1e
-0.3851771,0.44268093,0.94801366,#873c2d
-0.33507833,0.47730964,0.90842575,#873c3c
-0.28678665,0.51632434,0.8636345,#873c4b
-0.23628561,0.55031276,0.8095937,#873c5a
-0.18499795,0.56954545,0.7438466,#873c69
-0.13653116,0.5824516,0.6765104,#873c78
-0.08785285,0.5927878,0.60651875,#873c87
-0.03543835,0.60275483,0.52914286,#873c96
0.01785498,0.61281514,0.44796115,#873ca5
0.06900962,0.62472355,0.36438704,#873cb4
0.11529994,0.6408234,0.27770442,#873cc3
0.1578555,0.6598538,0.18781488,#873cd2
0.19955105,0.67919844,0.09527233,#873ce1
0.24149795,0.697825,0.00027186947,#873cf0
0.28393325,0.7154623,-0.097192876,#873cff
